"ID","Name","Designator","Footprint","Quantity","Manufacturer Part","Manufacturer","Supplier","Supplier Part","Price"
1,"24C02S(XBLW)","U5","SOT-23-5_L3.0-W1.6-P0.95-LS2.8-BR",1,"24C02S(XBLW)","XBLW(芯伯乐)","LCSC","C18723540",0.033
2,"HDR-F-2.54_1x5","H3","HDR-F-2.54_1X5",1,,,"LCSC","C50950",0.058
3,"47uF","C2","C0805",1,,,,,
4,"100nF","C1","C0402",1,,,,,
5,"1kΩ","R1,R4,R5,R7","R0402",4,,,,,
6,"4.7kΩ","R2,R3","R0402",2,,,,,
7,"1.0-3PS","S1,S2,S3,S4,S5,S6,S7,S8","CONN-SMD_3P-P1.00_DEALON_1.0-3PS",8,"1.0-3PS","DEALON(德艺隆)","LCSC","C2904985",0.036
8,"LIS3DHTR_C15134","U1","LGA-16_L3.0-W3.0-P0.50-TL",1,"LIS3DHTR","ST(意法半导体)","LCSC","C15134",0.433
9,"DW07D","U2","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR",1,"DW07D","FM","LCSC","C89497",0.089
10,"1165SDIG-07","H1,H2","HDR-TH_7P-P2.54-V-F",2,"1165SDIG-07","CST(永丰盈)","LCSC","C2886701",0.11
11,"17-21SUYC/TR8","LED1","LED0805-R-RD",1,"KT-0805黄灯","KENTO","LCSC","C2296",0.012
12,"1.5kΩ","R6","R0402",1,,,,,
13,"TP4057","U3","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL",1,"TP4057-42-SOT26-R","TOPPOWER(南京拓微)","LCSC","C12044",0.112
14,"MSK12CO2-SZ","SW1","SW-TH_MSK12C02",1,"MSK12CO2-SZ","SHOU HAN(首韩)","LCSC","C2681568",0.042
15,"1N5819WS","D1","SOD-323_L1.8-W1.3-LS2.5-RD",1,"1N5819WS","Hottech(合科泰)","LCSC","C191023",0.011
16,"CR123A电池座","U4","TH_L43.0-W-18.0-CR123A",1,"CR123A",,"LCSC","C238066",3.97
